Dex Entries;;;;;;;;;;;;;;;;;;;
A strange seed was planted on its back at birth. The plant sprouts and grows with this Pokémon.;It can go for days without eating a single morsel. In the bulb on its back, it stores energy.;The bulb-like pouch on its back grows larger as it ages. The pouch is filled with numerous seeds.;The seed on its back is filled with nutrients. The seed grows steadily larger as its body grows.;It carries a seed on its back right from birth. As it grows older, the seed also grows larger.;While it is young, it uses the nutrients that are stored in the seeds on its back in order to grow.;Bulbasaur can be seen napping in bright sunlight. There is a seed on its back. By soaking up the sun's rays, the seed grows progressively larger.;There is a plant seed on its back right from the day this Pokémon is born. The seed slowly grows larger.;For some time after its birth, it grows by gaining nourishment from the seed on its back.;;;;;;;;;;;
Lives close to water. Its long tail is ridged with a fin which is often mistaken for a mermaid's.;Found quietly resting by lake shores. Its cell structure is similar to water, so it can invisibly melt into water.;When Vaporeon's fins begin to vibrate, it is a sign that rain will come within a few hours.;It prefers beautiful shores. With cells similar to water molecules, it could melt in water.;As it uses the fins on the tip of its tail to swim, it blends with the water perfectly.;Vaporeon underwent a spontaneous mutation and grew fins and gills that allow them to live underwater. They have the ability to freely control water.;Blending in with the water and erasing all signs of its presence, it patiently waits for its prey, fish Pokémon.;Clean, clear waters are its usual habitat. When it's about to be attacked by an invading enemy, it dives into the water to hide.;It detects nearby moisture with its fin. When its fin begins trembling rapidly, that means rain will fall in a few hours.;Its cell structure is similar to water molecules. It melts into the water and becomes invisible.;Tests show that its cells closely resemble water molecules, which perhaps explains its ability to conceal its form while submerged. I believe the origins of mermaid folklore lie with this Pokémon.;;;;;;;;;
It accumulates negative ions in the atmosphere to blast out 10,000-volt lightning bolts.;A sensitive Pokémon that easily becomes sad or angry. Every time its mood changes, it charges power.;Its weapons are its 10,000-volt electric attacks and its spiky fur. Its sharp hair can pierce enemies when it bristles.;It concentrates the weak electric charges emitted by its cells and launches wicked lightning bolts.;Every hair on its body starts to stand sharply on end if it becomes charged with electricity.;The negatively charged ions generated in its fur create a constant sparking noise.;Its cells generate weak power that is amplified by its fur's static electricity to drop thunderbolts. The bristling fur is made of electrically charged needles.;If it is angered or startled, the fur all over its body bristles like sharp needles that pierce foes.;If agitated, it uses electricity to straighten out its fur and launch it in small bunches.;By storing electricity in its body, it can shoot its bristlelike fur like a barrage of missiles.;They send out electrical charges of about 10,000 volts. Because they are high-strung, it can be difficult to grow close to them.;When its fur stands on end, that's a sign it's about to give off a jolt of electricity. Take care, as sometimes lightning strikes next to it, too.;Its lungs contain an organ that creates electricity. The crackling sound of electricity can be heard when it exhales.;Its fur stands on end, becoming like needles it fires at enemies. Once they're weakened, it finishes them off with a 10,000 volt shock.;Bristles its fur into sharp, needlelike points when enraged. One can hear electricity crackle in its breath when it exhales.;;;;;
When storing thermal energy in its body, its temperature can soar to over 1,600 degrees Fahrenheit.;It has a flame chamber inside its body. It inhales, then breathes out fire that is over 3,000 degrees Fahrenheit.;It stores some of the air it inhales in its internal flame pouch, which heats it to over 3,000 degrees Fahrenheit.;Flareon's fluffy fur releases heat into the air so that its body does not get excessively hot. Its body temperature can rise to a maximum of 1,650 degrees F.;When it catches prey or finds berries, it breathes fire on them until they're well done, and then it gobbles them up.;Its average body temperature is between 1,300 and 1,500 degrees Fahrenheit. In its internal flame sac, temperatures reach 3,000 degrees.;If it inhales deeply, that's a sign it's about to attack. Prepare to be hit by flames of over 3,000 degrees Fahrenheit!;The flame chamber inside its body ignites when Flareon gets agitated, reaching temperatures of up to 1,650 degrees Fahrenheit.;Once it has stored up enough heat, this Pokémon's body temperature can reach up to 1,700 degrees Fahrenheit.;Flames burn within a saclike organ inside this Pokémon. When Flareon inhales, these flames grow in intensity, reaching a mighty 3,000 degrees Fahrenheit.;;;;;;;;;;
A Pokémon that consists entirely of programming code. It is capable of moving freely in cyberspace.;The only Pokémon that people anticipate can fly into space. None has managed the feat yet, however.;A man-made Pokémon that consists entirely of programming code. It is capable of moving freely in cyberspace.;It is a manmade Pokémon. Since it doesn't breathe, people are eager to try it in any environment.;A man-made Pokémon that came about as a result of research. It is programmed with only basic motions.;An artificial Pokémon created due to extensive research, it can perform only what is in its program.;It is capable of reverting itself entirely back to program data in order to enter cyberspace. A Porygon is copy-protected so it cannot be duplicated.;Using the most advanced technologies, scientists finally succeeded in making the first artificial Pokémon.;The world's first artificially created Pokémon. It can travel through electronic space.;A man-made Pokémon created using advanced scientific means. It can move freely in cyberspace.;Roughly 20 years ago, it was artificially created, utilizing the latest technology of the time.;This Pokémon was created using the cutting-edge science of 20 years ago, so many parts of it have since become obsolete.;It was built 20 years ago by scientists who dreamed of exploring space. Their dreams have yet to come true.;State-of-the-art technology was used to create Porygon. It was the first artificial Pokémon to be created via computer programming.;In recent years, this species has been very helpful in cyberspace. These Pokémon will go around checking to make sure no suspicious data exists.;It has no discernible heartbeat and does not seem to draw breath, and yet it appears to function without issue. I cannot even begin to explain this utterly bizarre anomaly.;;;;
Although long extinct, in rare cases, it can be genetically resurrected from fossils.;An ancient Pokémon that was recovered from a fossil. It swam by cleverly twisting its 10 tentacles about.;A prehistoric and long-extinct Pokémon that was resurrected from a fossil. Swims by twisting its 10 tentacles about.;Revived from an ancient fossil, this Pokémon uses air stored in its shell to sink and rise in water.;This Pokémon from ancient times is said to have navigated the sea by adeptly twisting its 10 tentacles.;In prehistoric times, it swam on the sea floor, eating plankton. Its fossils are sometimes found.;One of the ancient and long-since-extinct Pokémon that have been regenerated from fossils by humans. If attacked, it withdraws into its hard shell.;A prehistoric Pokémon that lived in the primordial sea, it swims by twisting its 10 tentacles about.;A Pokémon that was resurrected from a fossil using modern science. It swam in ancient seas.;Omanyte lived in the seas of antiquity. Its fossils have been found bearing bite marks from <<0567arch>>, so apparently <<0567arch>> preyed on it.;It was restored from an ancient fossil. Those Helix Fossils are excavated from areas that were once oceans long, long ago.;Because some Omanyte manage to escape after being restored or are released into the wild by people, this species is becoming a problem.;This Pokémon is a member of an ancient, extinct species. Omanyte paddles through water with its 10 tentacles, looking like it's just drifting along.;;;;;;;
A prehistoric Pokémon that died out when its heavy shell made it impossible to catch prey.;Its sharp beak rings its mouth. Its shell was too big for it to move freely, so it became extinct.;Attacks by ensnaring its enemy with its tentacles and biting with sharp fangs. Its overly-large shell makes it sluggish.;Apparently, it cracked <<0090shel>>'s shell with its sharp fangs and sucked out the insides.;Once wrapped around its prey, it never lets go. It eats the prey by tearing at it with sharp fangs.;Its heavy shell allowed it to reach only nearby food. This could be the reason it is extinct.;An Omastar uses its tentacles to capture its prey. It is believed to have become extinct because its shell grew too large, making its movements slow and ponderous.;Its tentacles are highly developed as if they are hands and feet. As soon as it ensnares prey, it bites.;Despite having strong fangs and tentacles, it went extinct when its heavy shell made it unable to catch prey.;Its heavy shell is thought to be the reason this ancient Pokémon died out. It's apparently a distant ancestor of <<0224octi>>.;It wraps its prey in its tentacles to immobilize them and then finishes them off with its sharp fangs.;Weighed down by a large and heavy shell, Omastar couldn't move very fast. Some say it went extinct because it was unable to catch food.;Omastar's sharp fangs could crush rock, but the Pokémon can attack only the prey that come within reach of its tentacles.;;;;;;;
A Pokémon that was regenerated from a fossil found in what was once the ocean floor long ago.;A Pokémon that was recovered from a fossil. It used the eyes on its back while hiding on the seafloor.;A Pokémon that was resurrected from a fossil found in an ancient seabed. Unable to right itself if it is flipped over.;On rare occasions, some have been found as fossils which they became while hiding on the ocean floor.;This Pokémon lived in ancient times. On rare occasions, it has been discovered as a living fossil.;Three hundred million years ago, it hid on the sea floor. It also has eyes on its back that glow.;It is a Pokémon that has been regenerated from a fossil. However, in rare cases, living examples have been discovered. Kabuto have not changed for 300 million years.;This Pokémon was regenerated from the fossil of an ancient creature. It protects itself with a hard shell.;It is thought to have inhabited beaches 300 million years ago. It is protected by a stiff shell.;This Pokémon thrived 300 million years ago. It's said that living specimens can still be seen in a certain region—a rare sight.;This Pokémon became extinct everywhere, except in a few areas. It protects itself with its hard shell.;This species is almost entirely extinct. Kabuto molt every three days, making their shells harder and harder.;While some say this species has gone extinct, Kabuto sightings are apparently fairly common in some places.;;;;;;;
Its sleek shape is perfect for swimming. It slashes prey with its claws and drains their fluids.;A slim and fast swimmer. It sliced its prey with its sharp sickles and drank the body fluids.;Swims very quickly. It tears at its foe with sickle-like forelegs and drains the foe's body fluids entirely.;In the water, it tucks in its limbs to become more compact, then it wiggles its shell to swim fast.;With sharp claws, this ferocious, ancient Pokémon rips apart prey and sucks their body fluids.;It was able to swim quickly through the water by compactly folding up its razor-sharp sickles.;Kabutops once swam underwater to hunt for prey. It was apparently evolving from being a water dweller to living on land as evident from changes in its gills and legs.;It is thought that this Pokémon came onto land because its prey adapted to life on land.;Its body had begun to change so it could function on land. But it didn't adapt in time and went extinct.;It swims at speeds of roughly 29 knots, quickly closing in on its prey and slashing into them with its scythes to finish them off.;Kabutops slices its prey apart and sucks out the fluids. The discarded body parts become food for other Pokémon.;The cause behind the extinction of this species is unknown. Kabutops were aggressive Pokémon that inhabited warm seas.;;;;;;;;
A ferocious, prehistoric Pokémon that goes for the enemy's throat with its serrated, sawlike fangs.;A savage Pokémon that died out in ancient times. It was resurrected using DNA taken from amber.;A Pokémon that was resurrected from the genes of an ancient dinosaur. With sharp fangs, it is very vicious.;A vicious Pokémon from the distant past. It appears to have flown by spreading its wings and gliding.;This vicious Pokémon is said to have flown in ancient skies while shrieking high-pitched cries.;In prehistoric times, this Pokémon flew freely and fearlessly through the skies.;Aerodactyl is a Pokémon from the age of dinosaurs. It was regenerated from DNA extracted from amber. It is imagined to have been the king of the skies.;A Pokémon that roamed the skies in the dinosaur era. Its teeth are like saw blades.;A Pokémon from the age of the dinosaurs. It used its sawlike fangs to shred its prey before eating them.;In ancient times, it ruled the skies. A widely accepted theory is that it went extinct due to a large meteor impact.;Restored from DNA found in amber, this Pokémon exhibited ferocity that was greater than expected. Some casualties resulted.;It flew through the open skies over the ancient continent as if they were its own. When it touched ground, its walk was weak and slow.;This is a ferocious Pokémon from ancient times. Apparently even modern technology is incapable of producing a perfectly restored specimen.;Aerodactyl's sawlike fangs can shred skin to tatters—even the skin of Steel-type Pokémon.;;;;;;
Very lazy. Just eats and sleeps. As its rotund bulk builds, it becomes steadily more slothful.;Will eat anything, even if the food happens to be a little moldy. It never gets an upset stomach.;A lazy Pokémon that gets continually fatter by sticking to a cycle of eating and sleeping. Awake only when it eats.;What sounds like its cry may actually be its snores or the rumblings of its hungry belly.;Its stomach's digestive juices can dissolve any kind of poison. It can even eat things off the ground.;Its stomach can digest any kind of food, even if it happens to be moldy or rotten.;Snorlax's typical day consists of nothing more than eating and sleeping. It is such a docile Pokémon that there are children who use its big belly as a place to play.;It stops eating only to sleep. It doesn't feel full unless it eats nearly 900 pounds a day.;When its belly is full, it becomes too lethargic to even lift a finger, so it is safe to bounce on its belly.;Its stomach is said to be incomparably strong. Even <<0089muk0>>'s poison is nothing more than a hint of spice on Snorlax's tongue.;It eats nearly 900 pounds of food every day. It starts nodding off while eating—and continues to eat even while it's asleep.;It doesn't do anything other than eat and sleep. When prompted to make a serious effort, though, it apparently displays awesome power.;It has no interest in anything other than eating. Even if you climb up on its stomach while it's napping, it doesn't seem to mind at all!;This glutton appears in villages without warning and devours the entirety of their rice granaries—such occurrences have long been counted among the gravest of disasters.;;;;;;
A legendary bird Pokémon with long and distinctive tail feathers. Said to appear if you are freezing on a snowy mountain.;A legendary bird Pokémon. It freezes water that is contained in winter air and makes it snow.;The magnificent, seemingly translucent wings of this legendary bird Pokémon are said to be made of ice.;One of the legendary bird Pokémon, it chills moisture in the atmosphere to create snow while flying.;Legendary bird Pokémon. As it flies through the sky, it cools the air, causing snow to fall.;Articuno is a legendary bird Pokémon that can control ice. The flapping of its wings chills the air. As a result, it is said that when this Pokémon flies, snow will fall.;One of the legendary bird Pokémon. With its long tail trailing behind, its flying form is magnificent.;A legendary bird Pokémon. It can create blizzards by freezing moisture in the air.;It's said that this Pokémon's beautiful blue wings are made of ice. Articuno flies over snowy mountains, its long tail fluttering along behind it.;This Pokémon can control ice at will. Articuno is said to live in snowy mountains riddled with permafrost.;;;;;;;;;;
Its feather-like blades are composed of psychic energy and can shear through thick iron sheets as if they were paper.;Known as Articuno, this Pokémon fires beams that can immobilize opponents as if they had been frozen solid.;;;;;;;;;;;;;;;;;;
A legendary bird Pokémon that is said to appear from clouds while dropping enormous lightning bolts.;This legendary bird Pokémon is said to appear when the sky turns dark and lightning showers down.;A legendary bird Pokémon that appears with a gigantic thunder storm. It flies with the buzz and crack of electricity.;This legendary bird Pokémon causes savage thunderstorms by flapping its glittering wings.;This legendary bird Pokémon is said to appear only when a thundercloud parts into two halves.;Legendary bird Pokémon. They say lightning caused by the flapping of its wings causes summer storms.;Zapdos is a legendary bird Pokémon that has the ability to control electricity. It usually lives in thunderclouds. It gains power if it is stricken by lightning bolts.;A legendary Pokémon that is said to live in thunderclouds. It freely controls lightning bolts.;This Pokémon has complete control over electricity. There are tales of Zapdos nesting in the dark depths of pitch-black thunderclouds.;Zapdos is a legendary bird Pokémon. It's said that when Zapdos rubs its feathers together, lightning will fall immediately after.;;;;;;;;;;
When its feathers rub together, they produce a crackling sound like the zapping of electricity. That's why this Pokémon is called Zapdos.;One kick from its powerful legs will pulverize a dump truck. Supposedly, this Pokémon runs through the mountains at over 180 mph.;;;;;;;;;;;;;;;;;;
Known as the legendary bird of fire. Every flap of its wings creates a dazzling flash of flames.;A legendary bird Pokémon. As it flaps its flaming wings, even the night sky will turn red.;A legendary bird Pokémon known as the 'fire bird'. Every time it flaps, its wings flare and burn brightly.;This legendary Pokémon scatters embers with every flap of its wings. It is a thrilling sight to behold.;This legendary bird Pokémon is said to bring early spring to the wintry lands it visits.;Legendary bird Pokémon. It is said to migrate from the south along with the spring.;Moltres is a legendary bird Pokémon that can control fire. If injured, it is said to dip its body in the molten magma of a volcano to burn and heal itself.;One of the legendary bird Pokémon. Those who see it are overwhelmed by its orange wings that seem to be on fire.;It is said to be the legendary bird Pokémon of fire. Every flap of its wings creates a dazzling flare of flames.;One of the legendary bird Pokémon. It is said that its appearance indicates the coming of spring.;It's one of the legendary bird Pokémon. When Moltres flaps its flaming wings, they glimmer with a dazzling red glow.;There are stories of this Pokémon using its radiant, flame-cloaked wings to light up paths for those lost in the mountains.;;;;;;;;
This Pokémon's sinister, flame-like aura will consume the spirit of any creature it hits. Victims become burned-out shadows of themselves.;The sinister aura that blazes like molten fire around this Pokémon is what inspired the name Moltres.;;;;;;;;;;;;;;;;;;
Long considered a mythical Pokémon until recently, when a small colony was found living underwater.;Long thought to be a myth, this Pokémon's existence was only recently confirmed by a fisherman who caught one.;Even the young are known to exceed 6' 6''. It is rare and was long considered to exist only in myth.;It is born large to start with. It repeatedly sheds its skin as it steadily grows longer.;This Pokémon is full of life energy. It continually sheds its skin and grows steadily larger.;It sheds many layers of skin as it grows larger. During this process, it is protected by a rapid waterfall.;A Dratini continually molts and sloughs off its old skin. It does so because the life energy within its body steadily builds to reach uncontrollable levels.;Even the young can exceed 6.5 feet in length. It grows larger by repeatedly shedding skin.;It is called the 'Mirage Pokémon' because so few have seen it. Its shed skin has been found.;It grows by molting repeatedly. Boots made from the tanned cast-off skin are a super luxury item.;After a 10-hour struggle, a fisherman was able to pull one up and confirm its existence.;It's still weak, so it lurks on the floor of bodies of water, eating whatever food sinks down and living a quiet life.;It sheds its skin—almost on a daily basis—and grows larger. Its skin is soft just after it's been shed.;Dratini dwells near bodies of rapidly flowing water, such as the plunge pools of waterfalls. As it grows, Dratini will shed its skin many times.;This Pokémon was long considered to be no more than a myth. The small lump on a Dratini's forehead is actually a horn that's still coming in.;;;;;
A mystical Pokémon that exudes a gentle aura. It is said to have the ability to change the weather.;According to a witness, its body was surrounded by a strange aura that gave it a mystical look.;Lives in large bodies of water like the sea and lakes. It is said to have the power to change the weather and fly.;They say that if it emits an aura from its whole body, the weather will begin to change instantly.;Its crystalline orbs appear to give this Pokémon the power to freely control the weather.;It is called the divine Pokémon. When its entire body brightens slightly, the weather changes.;A Dragonair stores an enormous amount of energy inside its body. It is said to alter the weather around it by loosing energy from the crystals on its neck and tail.;It is said to live in seas and lakes. Even though it has no wings, it has been seen flying occasionally.;From time immemorial, it has been venerated by agricultural peoples as an entity able to control the weather.;Lakes where Dragonair live are filled with offerings from people, because they believe this Pokémon is able to control the weather.;Some say that if you see it at the start of the year, flying through the sky and twisting its body, you'll be healthy all year long.;This Pokémon lives in pristine oceans and lakes. It can control the weather, and it uses this power to fly into the sky, riding on the wind.;This Pokémon gathers power in the orbs on its tail and controls the weather. When enshrouded by an aura, Dragonair has a mystical appearance.;;;;;;;
An extremely rarely seen marine Pokémon. Its intelligence is said to match that of humans.;It is said that this Pokémon lives somewhere in the sea and that it flies. However, these are only rumors.;Has intelligence on par with people. This 'sea guardian' is said to be capable of flying around the globe in about 16 hours.;It is said that this Pokémon constantly flies over the immense seas and rescues drowning people.;This marine Pokémon has an impressive build that lets it freely fly over raging seas without trouble.;It is said that somewhere in the ocean lies an island where these gather. Only they live there.;It can circle the globe in just 16 hours. It is a kindhearted Pokémon that leads lost and foundering ships in a storm to the safety of land.;It can fly in spite of its big and bulky physique. It circles the globe in just 16 hours.;This Pokémon saved a shipwrecked man, taking him to a remote island—a paradise occupied solely by Dragonite.;Incur the wrath of this normally calm Pokémon at your peril, because it will smash everything to smithereens before it's satisfied.;It flies over raging seas as if they were nothing. Observing this, a ship's captain dubbed this Pokémon 'the sea incarnate'.;You'll often hear tales of this kindhearted Pokémon rescuing people or Pokémon that are drowning.;It's a kindhearted Pokémon. If it spots a drowning person or Pokémon, Dragonite simply must help them.;This Pokémon is known as the Sea Incarnate. Figureheads that resemble Dragonite decorate the bows of many ships.;;;;;;
It was created by a scientist after years of horrific gene-splicing and DNA-engineering experiments.;Its DNA is almost the same as <<0151mew0>>'s. However, its size and disposition are vastly different.;A vicious psychic Pokémon created by genetic engineering. Its cold, glowing eyes strike fear into its enemy.;Because its battle abilities were raised to the ultimate level, it thinks only of defeating its foes.;It usually remains motionless to conserve energy, so that it may unleash its full power in battle.;Said to rest quietly in an undiscovered cave, this Pokémon was created solely for battling.;A Pokémon that was created by genetic manipulation. However, even though the scientific power of humans made its body, they failed to give it a warm heart.;A Pokémon whose genetic code was repeatedly recombined for research. It turned vicious as a result.;A Pokémon created by recombining <<0151mew0>>'s genes. It's said to have the most savage heart among Pokémon.;Created from the DNA of <<0151mew0>>, this Pokémon is a dangerous combination of overwhelming power and a savage heart.;The research efforts of a certain scientist ultimately resulted in this Pokémon. Its powers are dedicated to battling.;;;;;;;;;
So rare that it is still said to be a mirage by many experts. Only a few people have seen it worldwide.;When viewed through a microscope, this Pokémon's short, fine, delicate hair can be seen.;Apparently, it appears only to those people who are pure of heart and have a strong desire to see it.;Its DNA is said to contain the genetic codes of all Pokémon, so it can use all kinds of techniques.;Because it is able to use every move, there are many scientists who believe that it is the ancestor of all Pokémon.;A Mew is said to possess the genes of all Pokémon. It is capable of making itself invisible at will, so it entirely avoids notice even if it approaches people.;It's very intelligent and can use an incredible variety of moves. Many believe that all other Pokémon are descendants of this one.;This mythical Pokémon is said to be extinct, but sightings of it are still being reported to this day.;;;;;;;;;;;;
Typhlosion obscures itself behind a shimmering heat haze that it creates using its intensely hot flames. This Pokémon creates blazing explosive blasts that burn everything to cinders.;;;;;;;;;;;;;;;;;;;
Said to purify lost, forsaken souls with its flames and guide them to the afterlife. I believe its form has been influenced by the energy of the sacred mountain towering at Hisui's center.;;;;;;;;;;;;;;;;;;;
It has incredible intellect and intuition. Whatever the situation, it remains calm and collected.;When its head was bitten, toxins entered <<0079slow>>'s head and unlocked an extraordinary power.;Every time it yawns, <<0090shel>> injects more poison into it. The poison makes it more intelligent.;It undertakes research every day to solve the mysteries of the world. However, it apparently forgets everything if the <<0090shel>> on its head comes off.;Being bitten by <<0090shel>> gave it intelligence comparable to that of award-winning scientists.;A poisonous bite reacted with its system, blessing it with the enhanced intellect of a genius. It has full control of its psychic powers.;This Pokémon is so famed for its intellect that a proverb still persists in some regions: 'When in doubt, ask Slowking.';It's constantly coming up with new ideas that would change the world, but as soon as it hits upon a new idea, it forgets it.;It's called 'the sage of the sea'. It engages in battles of wits with <<0765oran>>, but the result is usually a draw.;Miraculously, this former <<0079slow>>'s latent intelligence was drawn out when <<0090shel>> poison raced through its brain.;Slowking can solve any problem presented to it, but no one can understand a thing Slowking says.;;;;;;;;;
A combination of toxins and the shock of evolving has increased <<0090shel>>'s intelligence to the point that <<0090shel>> now controls Slowking.;While chanting strange spells, this Pokémon combines its internal toxins with what it's eaten, creating strange potions.;;;;;;;;;;;;;;;;;;
Qwilfish sucks in water, inflating itself. This Pokémon uses the pressure of the water it swallowed to shoot toxic quills all at once from all over its body. It finds swimming somewhat challenging.;;;;;;;;;;;;;;;;;;;
Fishers detest this troublesome Pokémon because it sprays poison from its spines, getting it everywhere. A different form of Qwilfish lives in other regions.;;;;;;;;;;;;;;;;;;;
It has a cunning yet savage disposition. It waits for parents to leave their nests, and then it sneaks in to steal their eggs.;;;;;;;;;;;;;;;;;;;
Its sturdy, curved claws are ideal for traversing precipitous cliffs. From the tips of these claws drips a venom that infiltrates the nerves of any prey caught in Sneasel's grasp.;;;;;;;;;;;;;;;;;;;
It continuously sheds and grows. The tip of its head is prized as a treasure because of its beauty.;In a south-sea nation, the people live in communities that are built on groups of these Pokémon.;The points on its head absorb nutrients from clear water. They cannot survive in polluted water.;Corsola's branches glitter very beautifully in seven colors when they catch sunlight. If any branch breaks off, this Pokémon grows it back in just one night.;Clusters of Corsola congregate in warm seas where they serve as ideal hiding places for smaller Pokémon. When the water temperature falls, this Pokémon migrates to the southern seas.;Corsola live in warm southern seas. If the sea becomes polluted, the beautiful coral stalks become discolored and crumble away in tatters.;Many live in the clean seas of the south. They apparently can't live in polluted waters.;They prefer unpolluted southern seas. Their coral branches lose their color and deteriorate in dirty water.;Coral branches grow from its head. They break off quite easily, but they grow back in about three days.;Pursued by <<0747mare>> for the branches on its head, this Pokémon will sometimes snap its own branches off as a diversion while it escapes.;The pink of Corsola that live in Alola is deep and vibrant, thanks to seas filled with nutrition.;In Alola, where their natural enemies <<0747mare>> are plentiful, many Corsola have stubby branches on their heads.;It will regrow any branches that break off its head. People keep particularly beautiful Corsola branches as charms to promote safe childbirth.;These Pokémon live in warm seas. In prehistoric times, many lived in the oceans around the Galar region as well.;;;;;;
Watch your step when wandering areas oceans once covered. What looks like a stone could be this Pokémon, and it will curse you if you kick it.;Sudden climate change wiped out this ancient kind of Corsola. This Pokémon absorbs others' life-force through its branches.;;;;;;;;;;;;;;;;;;
Zigzagoon restlessly wanders everywhere at all times. This Pokémon does so because it is very curious. It becomes interested in anything that it happens to see.;The hair on Zigzagoon's back is bristly. It rubs the hard back hair against trees to leave its territorial markings. This Pokémon may play dead to fool foes in battle.;Rubbing its nose against the ground, it always wanders about back and forth in search of something. It is distinguished by the zigzag footprints it leaves.;A Pokémon with abundant curiosity. It shows an interest in everything, so it always zigzags.;It walks in zigzag fashion. It is good at finding items in the grass and even in the ground.;It gets interested in everything, which is why it zigs and zags. It is good at finding items.;It marks its territory by rubbing its bristly fur on trees. This variety of Zigzagoon is friendlier and calmer than the kind native to Galar.;Zigzagoon that adapted to regions outside Galar acquired this appearance. If you've lost something, this Pokémon can likely find it.;;;;;;;;;;;;
Its restlessness has it constantly running around. If it sees another Pokémon, it will purposely run into them in order to start a fight.;Thought to be the oldest form of Zigzagoon, it moves in zigzags and wreaks havoc upon its surroundings.;;;;;;;;;;;;;;;;;;
Linoone always runs full speed and only in straight lines. If facing an obstacle, it makes a right-angle turn to evade it. This Pokémon is very challenged by gently curving roads.;When hunting, Linoone will make a beeline straight for the prey at a full run. While this Pokémon is capable of topping 60 mph, it has to come to a screeching halt before it can turn.;It is exceedingly fast if it only has to run in a straight line. When it spots pond-dwelling prey underwater, it quickly leaps in and catches it with its sharp claws.;When running in a straight line, it can easily top 60 miles an hour. It has a tough time with curved roads.;It charges prey at speeds over 60 mph. However, because it can only run straight, it often fails.;Its fur is strong and supple. Shaving brushes made with shed Linoone hairs are highly prized.;It uses its explosive speed and razor-sharp claws to bring down prey. Running along winding paths is not its strong suit.;;;;;;;;;;;;;
It uses its long tongue to taunt opponents. Once the opposition is enraged, this Pokémon hurls itself at the opponent, tackling them forcefully.;This very aggressive Pokémon will recklessly challenge opponents stronger than itself.;;;;;;;;;;;;;;;;;;
The DNA of a space virus underwent a sudden mutation upon exposure to a laser beam and resulted in Deoxys. The crystalline organ on this Pokémon's chest appears to be its brain.;Deoxys emerged from a virus that came from space. It is highly intelligent and wields psychokinetic powers. This Pokémon shoots lasers from the crystalline organ on its chest.;An alien virus that fell to earth on a meteor underwent a DNA mutation to become this Pokémon.;DNA from a space virus mutated and became a Pokémon. It appears where auroras are seen.;;;;;;;;;;;;;;;;
This Deoxys has transformed into its aggressive guise. It can fool enemies by altering its appearance.;;;;;;;;;;;;;;;;;;;
When it changes form, an aurora appears. It absorbs attacks by altering its cellular structure.;;;;;;;;;;;;;;;;;;;
A Pokémon that mutated from an extraterrestrial virus exposed to a laser beam. Its body is configured for superior agility and speed.;;;;;;;;;;;;;;;;;;;
For the most part, it makes its home along the seashore. Its color and form differ according to its habitat and the quality of its food.;Purple mucus sticks to the hands of anyone who touches it. Take care, as the substance is troublesome to wash off.;While they normally live in the sea, they can function on land, too, until their skin dries out.;When it senses danger, a purple liquid oozes out of it. The liquid is thought to be something like greasy sweat.;This Pokémon's habitat shapes its physique. According to some theories, life in warm ocean waters causes this variation to develop.;Subjecting this Pokémon to a strong force causes it to secrete a strange purple fluid. Though harmless, the fluid is awfully sticky.;Its color and shapes differ from region to region. In the Sinnoh region, two types are confirmed.;Found in abundance on seashores bordering warm waters. Shellos are unexpectedly friendly and will crawl toward any person they see. Take care not to get coated in mucus!;;;;;;;;;;;;
Shellos lives in the sea and feasts on plankton. The lovelier the ocean where Shellos resides, the more vibrant its color becomes.;The difference in color from one Shellos to another seems to be a result of their diet. No large changes can be seen in their capabilities.;When it senses danger, it gushes a purple liquid. Some theories suggest this liquid is a greasy sweat induced by stress.;Scientists interested in its great regenerative capabilities are currently analyzing the materials from which its cells are made.;There's speculation that its appearance is determined by what it eats, but the truth remains elusive.;Its appearance changes depending on the environment. One theory suggests that living in cold seas causes Shellos to take on this form.;Its color and shapes differ from region to region. In the Sinnoh region, two types are confirmed.;Found in abundance on seashores bordering cold waters. When pressed upon, the Pokémon will secrete from its body's surface a purple fluid that will stain one's clothes.;;;;;;;;;;;;
It has strong regenerative capabilities. Even if parts of it are bitten off by fish Pokémon, it will return to normal within a few hours.;Plankton, invisible to the naked eye, is its main food source. It comes onto the land periodically, but the reason for this is not known.;Long ago, it had a shell on its back. There's now a vestigial plate on its back that's hard but thin.;Their shape and color change, depending on their environment and diet. There are many of them at beaches where the waves are calm.;Its search for food sometimes leads it onto land, where it leaves behind a sticky trail of slime as it passes through.;The softness of its body helps disperse the force of impacts, so although its body is uncommonly squishy, it's also surprisingly resilient.;It has a pliable body without any bones. If any part of its body is torn off, it grows right back.;It apparently had a huge shell for protection in ancient times. It lives in shallow tidal pools.;Long ago, its entire back was shielded with a sturdy shell. There are traces of it left in its cells.;Eats beach sand for nourishment. Should one Gastrodon encounter another of a different color, a fierce battle will inevitably ensue.;;;;;;;;;;
